csv_category,nav_top_menu,nav_column,nav_item_matched,status
Oxygen Regulators,GAS & OXY-FUEL,Gas Regulators & Delivery,Oxygen Regulators,MAPPED
PDQ Pipe Alignment Clamps,PIPE WELDING,Pipe Welding Clamps,PDQ Clamps,MAPPED
Paint Spray Guns & Accessories,WELDING WORKSHOP,Air Tools & Compressors,Paint Spray Guns,MAPPED
Pedestal/Column Spot Welders,WELDING MACHINES,Welding Machines,Spot Welders - Pedestal,MAPPED
Petrol Air Compressors,WELDING WORKSHOP,Air Tools & Compressors,Petrol Air Compressors,MAPPED
Pickling & Neutralising Agents,TIG WELDING,TIG Welding Accessories,Pickling & Neutralising Agents,MAPPED
Pincer Pipe Clamps,PIPE WELDING,Pipe Welding Clamps,Pincer Clamps,MAPPED
Pipe Bench System Accessories,PIPE WELDING,Pipe Cutting & Preparation,Exact Pipe Saws,MAPPED
Pipe Bevelling Machines & Tools,PIPE WELDING,Pipe Cutting & Preparation,Pipe Bevelling Machines,MAPPED
Pipe Centering Heads,PIPE WELDING,Pipe Welding Accessories,Measuring & Marking Tools,MAPPED
Pipe Conveyors,PIPE WELDING,Pipe Stands & Handling,Pipe Conveyors,MAPPED
Pipe Cutting Equipment,PIPE WELDING,Pipe Cutting & Preparation,[Parent],MAPPED
Pipe Cutting Machines,PIPE WELDING,Pipe Cutting & Preparation,Pipe Cutting Machines,MAPPED
Pipe Cutting Machines (Oxy-Acetylene),PLASMA CUTTING,Oxy-Fuel Cutting Machines,Pipe Cutting Machines (Oxy),MAPPED
Pipe Measuring & Marking Tools,PIPE WELDING,Pipe Welding Accessories,Measuring & Marking Tools,MAPPED
Pipe Prep Blades,PIPE WELDING,Pipe Cutting & Preparation,Pipe Bevelling Machines,MAPPED
Pipe Purging Equipment,PIPE WELDING,Pipe Welding Accessories,Pipe Purging Equipment,MAPPED
Pipe Roller Stands,PIPE WELDING,Pipe Stands & Handling,Roller Stands,MAPPED
Pipe Rotators,PIPE WELDING,Pipe Stands & Handling,Pipe Rotators,MAPPED
Pipe Saw Spares & Roller Supports,PIPE WELDING,Pipe Cutting & Preparation,[Sub-cat],MAPPED
Pipe Saws,PIPE WELDING,Pipe Cutting & Preparation,[Parent],MAPPED
Pipe Stands,PIPE WELDING,Pipe Stands & Handling,[Parent],MAPPED
Pipe Welding & Cutting Equipment,PIPE WELDING,Pipe Stands & Handling,[Parent],MAPPED
Pipe Welding Clamps,PIPE WELDING,Pipe Welding Clamps,[Parent],MAPPED
Pipe Welding Tools & Accessories,PIPE WELDING,Pipe Welding Accessories,[Parent],MAPPED
Pipe Wrap,PIPE WELDING,Pipe Welding Accessories,Pipe Wrap,MAPPED
Plasma Cutters,PLASMA CUTTING,Plasma Cutting Machines,Plasma Cutters,MAPPED
Plasma Cutting Equipment,PLASMA CUTTING,Plasma Cutting Machines,[Parent],MAPPED
Plasma Cutting Torches,PLASMA CUTTING,Plasma Cutting Machines,Plasma Cutting Torches,MAPPED
Plasma Torch Spares,PLASMA CUTTING,Plasma Cutting Machines,[Sub-cat],MAPPED
Plate Bevellers,PLASMA CUTTING,Oxy-Fuel Cutting Machines,Plate Bevellers,MAPPED
Plier Sets,WELDING WORKSHOP,Welding Tools & Equipment,Tool Kit Sets & Cabinets,MAPPED
Portable Spot Welders,WELDING MACHINES,Welding Machines,Spot Welders - Portable,MAPPED
Pre-formed Self Adhesive Purge Dams,PIPE WELDING,Pipe Welding Accessories,Pipe Purging Equipment,MAPPED
Prep 2 Pipe Preparation Machines,PIPE WELDING,Pipe Cutting & Preparation,Pipe Bevelling Machines,MAPPED
Prep 3 Pipe Preparation Machines,PIPE WELDING,Pipe Cutting & Preparation,Pipe Bevelling Machines,MAPPED
Prep 4 Pipe Preparation Machines,PIPE WELDING,Pipe Cutting & Preparation,Pipe Bevelling Machines,MAPPED
Prep 8 Pipe Preparation Machines,PIPE WELDING,Pipe Cutting & Preparation,Pipe Bevelling Machines,MAPPED
Protective Eyewear,SAFETY & PPE,Welding Helmets & Eye Protection,[Parent],MAPPED
Purge Gas Retaining Tape,PIPE WELDING,Pipe Welding Accessories,Pipe Purging Equipment,MAPPED
Quattro Pipe Stands,PIPE WELDING,Pipe Stands & Handling,V-Head Stands,MAPPED
Radius Markers,PIPE WELDING,Pipe Welding Accessories,Measuring & Marking Tools,MAPPED
Re-usable Cable Lugs,ARC WELDING,Welding Cable & Connectors,Re-usable Cable Lugs,MAPPED
Recoil Air Hoses (uPVC),WELDING WORKSHOP,Air Tools & Compressors,Air Hoses & Accessories,MAPPED
Refrigerated Air Dryers,WELDING WORKSHOP,Air Tools & Compressors,Refrigerated Air Dryers,MAPPED
Regulator Bull Nose & Nevoc Stem & Nut,GAS & OXY-FUEL,"Gas Hoses, Fittings & Storage",Hose Fittings & Couplers,MAPPED
Regulator Stems & Fittings,GAS & OXY-FUEL,"Gas Hoses, Fittings & Storage",Hose Fittings & Couplers,MAPPED
Respirator Masks,SAFETY & PPE,Welding Helmets & Eye Protection,Respirator Masks,MAPPED
Roller Pipe Stands,PIPE WELDING,Pipe Stands & Handling,Roller Stands,MAPPED
Safety Equipment,SAFETY & PPE,Welding Helmets & Eye Protection,[Parent],MAPPED
Safety Goggles,SAFETY & PPE,Welding Helmets & Eye Protection,Safety Goggles,MAPPED
Safety Spectacles,SAFETY & PPE,Welding Helmets & Eye Protection,Safety Spectacles,MAPPED
Safety Visors,SAFETY & PPE,Welding Helmets & Eye Protection,Safety Visors,MAPPED
Sanding Discs,ABRASIVES,Finishing & Sanding Discs,Sanding Discs,MAPPED
Screw Compressors,WELDING WORKSHOP,Air Tools & Compressors,Screw Compressors,MAPPED
Screwdriver Sets,WELDING WORKSHOP,Welding Tools & Equipment,Tool Kit Sets & Cabinets,MAPPED
Servicing & Parts,WELDING MACHINES,Welding Power & Cooling,Filter Kits & Servicing,MAPPED
Siamese Twin Welding Hoses - 100m Rolls,GAS & OXY-FUEL,"Gas Hoses, Fittings & Storage",Twin Welding Hoses,MAPPED
Sif Weld Cut 100 Spares,PLASMA CUTTING,Plasma Cutting Machines,Weldability Plasma Spares,MAPPED
Sif Weld Cut 40 Spares,PLASMA CUTTING,Plasma Cutting Machines,Weldability Plasma Spares,MAPPED
Silver Solder Welding Rods,GAS & OXY-FUEL,Oxy-Fuel Welding Rods,Silver Solder Rods,MAPPED
Single Chain Pipe Clamps,PIPE WELDING,Pipe Welding Clamps,Chain Clamps,MAPPED
Single Tube Pipe Stands,PIPE WELDING,Pipe Stands & Handling,V-Head Stands,MAPPED
Socket Sets,WELDING WORKSHOP,Welding Tools & Equipment,Tool Kit Sets & Cabinets,MAPPED
Spares & Accessories,WELDING MACHINES,Welding Power & Cooling,Spares & Accessories,MAPPED
Special Blades,PIPE WELDING,Pipe Cutting & Preparation,Exact Pipe Saws,MAPPED
Spider Pipe Clamps,PIPE WELDING,Pipe Welding Clamps,Spider Clamps,MAPPED
Spill Containment & Response Kits,SAFETY & PPE,Welding Workspace Safety,Spill Containment Kits,MAPPED
Spot Welders,WELDING MACHINES,Welding Machines,[Parent],MAPPED
Spot Welding Electrodes,WELDING MACHINES,Specialist Welding Equipment,Spot Welding Electrodes,MAPPED
Stainless Brighteners & Rust Remover,TIG WELDING,TIG Welding Accessories,Weld Cleaning Equipment,MAPPED
Stainless Steel CD Weld Studs,ARC WELDING,Arc Welding Accessories,Weld Studs - Stainless Steel,MAPPED
Stainless Steel MIG Wire,MIG WELDING,MIG Welding Wire,Stainless Steel MIG Wire,MAPPED
Stainless Steel Weld Cleaning Equipment,TIG WELDING,TIG Welding Accessories,Weld Cleaning Equipment,MAPPED
Stainless Steel Welding Electrodes,ARC WELDING,MMA Welding Electrodes,Stainless Steel,MAPPED
Stainless Steel Work Benches,WELDING WORKSHOP,Welding Benches & Tables,Stainless Steel Benches,MAPPED
Stainless Steel Work Benches with Drawer & Cupboard,WELDING WORKSHOP,Welding Benches & Tables,Stainless Steel Benches,MAPPED
Stainless Steel Work Benches with Lower Shelves,WELDING WORKSHOP,Welding Benches & Tables,Stainless Steel Benches,MAPPED
Steel & Low Hydrogen Electrodes,ARC WELDING,MMA Welding Electrodes,Steel & Low Hydrogen,MAPPED
Steel Top Welding Benches,WELDING WORKSHOP,Welding Benches & Tables,Heavy Duty Welding Benches,MAPPED
Straight Adaptors,GAS & OXY-FUEL,"Gas Hoses, Fittings & Storage",Hose Fittings & Couplers,MAPPED
Straight Line Cutting Machines,PLASMA CUTTING,Oxy-Fuel Cutting Machines,Straight Line Cutting Machines,MAPPED
Strip Curtains,SAFETY & PPE,Welding Workspace Safety,Welding Strip Curtains,MAPPED
Stud Welders - Capacitor Discharge (CD),ARC WELDING,Arc Welding Accessories,Stud Welders (CD),MAPPED
Stud Welding Equipment,ARC WELDING,Arc Welding Accessories,Stud Welders (CD),MAPPED
Super Heavy Duty Work Benches,WELDING WORKSHOP,Welding Benches & Tables,Super Heavy Duty Benches,MAPPED
Superstrike AC/DC Tungsten Electrodes,TIG WELDING,TIG Welding Torches & Tungsten,Superstrike AC/DC,MAPPED
TAG ‘E-Z’ Pipe Saws,PIPE WELDING,Pipe Cutting & Preparation,TAG Pipe Saws,MAPPED
TIG Filler Rods for Aluminium,TIG WELDING,TIG Welding Filler Rods,Aluminium,MAPPED
TIG Filler Rods for Brazing/Bronze Welding,TIG WELDING,TIG Welding Filler Rods,Brazing / Bronze,MAPPED
TIG Filler Rods for Copper/Copper-Nickel,TIG WELDING,TIG Welding Filler Rods,Copper / Copper-Nickel,MAPPED
TIG Filler Rods for Dissimilar Steels,TIG WELDING,TIG Welding Filler Rods,Dissimilar Steels,MAPPED
TIG Filler Rods for Duplex Stainless Steel,TIG WELDING,TIG Welding Filler Rods,Duplex Stainless Steel,MAPPED
TIG Filler Rods for Hard Facing,TIG WELDING,TIG Welding Filler Rods,Hard Facing,MAPPED
TIG Filler Rods for High Strength Steel,TIG WELDING,TIG Welding Filler Rods,Mild Steel,MAPPED
TIG Filler Rods for Magnesium,TIG WELDING,TIG Welding Filler Rods,Magnesium,MAPPED
TIG Filler Rods for Mild Steel,TIG WELDING,TIG Welding Filler Rods,Mild Steel,MAPPED
TIG Filler Rods for Nickel Alloy,TIG WELDING,TIG Welding Filler Rods,Nickel Alloy,MAPPED
TIG Filler Rods for Stainless Steel,TIG WELDING,TIG Welding Filler Rods,Stainless Steel,MAPPED
TIG Filler Rods for Titanium,TIG WELDING,TIG Welding Filler Rods,Titanium,MAPPED
TIG Torch Adaptors,TIG WELDING,TIG Welding Torches & Tungsten,TIG Torch Adaptors,MAPPED
TIG Torch Adaptors & Switches,TIG WELDING,TIG Welding Torches & Tungsten,TIG Torch Adaptors,MAPPED
TIG Torch Consumables,TIG WELDING,TIG Welding Torches & Tungsten,TIG Torch Consumables,MAPPED
TIG Torches & Spare Parts,TIG WELDING,TIG Welding Torches & Tungsten,TIG Torches & Spare Parts,MAPPED
TIG Wand Rapid,TIG WELDING,TIG Welding Accessories,Weld Cleaning Equipment,MAPPED
TIG Welders,TIG WELDING,TIG Welding Machines,[Parent],MAPPED
TIG Welding Rods,TIG WELDING,TIG Welding Filler Rods,[Parent],MAPPED
TIG Welding Supplies,TIG WELDING,TIG Welding Machines,[Parent],MAPPED
Tech Master Isolation Valves,GAS & OXY-FUEL,Gas Regulators & Delivery,[Sub-cat],MAPPED
Tecna Pedestal Spot Welding Electrodes,WELDING MACHINES,Specialist Welding Equipment,Spot Welding Electrodes,MAPPED
Temperature Indicator Pens,WELDING WORKSHOP,Welding Tools & Equipment,Temperature Indicator Pens,MAPPED
Thermal Dynamics Compat Spares,PLASMA CUTTING,Plasma Cutting Machines,Thermal Dynamics Spares,MAPPED
Thermal Dynamics Type PCH-35,PLASMA CUTTING,Plasma Cutting Machines,Thermal Dynamics Spares,MAPPED
Thermal Dynamics Type PCH-51,PLASMA CUTTING,Plasma Cutting Machines,Thermal Dynamics Spares,MAPPED
Thermal Dynamics Type PCH-52,PLASMA CUTTING,Plasma Cutting Machines,Thermal Dynamics Spares,MAPPED
Thermal Dynamics Type PCH-70,PLASMA CUTTING,Plasma Cutting Machines,Thermal Dynamics Spares,MAPPED
Thermal Spray Equipment & Powder,WELDING MACHINES,Specialist Welding Equipment,Thermal Spray Equipment,MAPPED
Thermal Spray Powders,WELDING MACHINES,Specialist Welding Equipment,Thermal Spray Equipment,MAPPED
Thoriated Tungsten Electrodes,TIG WELDING,TIG Welding Torches & Tungsten,Thoriated Tungsten,MAPPED
Tool Balancers,WELDING MACHINES,Specialist Welding Equipment,Tool Balancers,MAPPED
Tool Boxes & Cabinets,WELDING WORKSHOP,Welding Tools & Equipment,Tool Kit Sets & Cabinets,MAPPED
Tool Kit Sets & Cabinets,WELDING WORKSHOP,Welding Tools & Equipment,Tool Kit Sets & Cabinets,MAPPED
Tri-Stands & Pipe Jacks,PIPE WELDING,Pipe Stands & Handling,V-Head Stands,MAPPED
Tungsten Electrodes,TIG WELDING,TIG Welding Torches & Tungsten,[Parent],MAPPED
Tungsten Grinders,TIG WELDING,TIG Welding Accessories,[Parent],MAPPED
Tungsten Grinders - Bench Mounted,TIG WELDING,TIG Welding Accessories,Tungsten Grinders - Bench,MAPPED
Tungsten Grinders with Extractors,TIG WELDING,TIG Welding Accessories,Tungsten Grinders w/ Extractors,MAPPED
Twin Outlet Valves,GAS & OXY-FUEL,"Gas Hoses, Fittings & Storage",Cylinder Fittings & Adaptors,MAPPED
Twin Welding Hoses,GAS & OXY-FUEL,"Gas Hoses, Fittings & Storage",Twin Welding Hoses,MAPPED
Twin Welding Hoses - Fitted Set,GAS & OXY-FUEL,"Gas Hoses, Fittings & Storage",Twin Welding Hoses,MAPPED
Type 3/5 HD Torch Components,GAS & OXY-FUEL,Oxy-Fuel Welding Equipment,Type 3/5 HD Torch Components,MAPPED
V Head Stands,PIPE WELDING,Pipe Stands & Handling,V-Head Stands,MAPPED
VVC Cutting Nozzles,PLASMA CUTTING,Oxy-Fuel Cutting Nozzles,VVC Cutting Nozzles,MAPPED
Victor Cutting Nozzles,PLASMA CUTTING,Oxy-Fuel Cutting Nozzles,Victor Cutting Nozzles,MAPPED
WSL - On Torch Fume Extractors,FUME EXTRACTION,On-Torch & Bench Extraction,WSL On-Torch Extraction,MAPPED
Water Soluble Welding Products,PIPE WELDING,Pipe Welding Accessories,[Sub-cat],MAPPED
Weld Backing Ceramics & Tapes,WELDING WORKSHOP,Welding Chemicals & Consumables,Weld Backing Ceramics,MAPPED
Weld Backing Tape,PIPE WELDING,Pipe Welding Accessories,Weld Backing Tape,MAPPED
Weld Backing Tapes,PIPE WELDING,Pipe Welding Accessories,Weld Backing Tape,MAPPED
Weld Cleaning Equipment,TIG WELDING,TIG Welding Accessories,Weld Cleaning Equipment,MAPPED
Weld Purge Monitors,PIPE WELDING,Pipe Welding Accessories,Pipe Purging Equipment,MAPPED
Weld Studs,ARC WELDING,Arc Welding Accessories,[Parent],MAPPED
Weldability Plasma Cutter Spares,PLASMA CUTTING,Plasma Cutting Machines,Weldability Plasma Spares,MAPPED
Welder Generators,WELDING MACHINES,Welding Power & Cooling,Welder Generators,MAPPED
Welder Water Coolers,TIG WELDING,TIG Welding Accessories,Welder Water Coolers,MAPPED
Welding & Marking Tools,WELDING WORKSHOP,Welding Tools & Equipment,[Parent],MAPPED
Welding Aprons,SAFETY & PPE,Welding Protective Clothing,Welding Aprons,MAPPED
Welding Bench Accessories,WELDING WORKSHOP,Welding Benches & Tables,Bench Accessories,MAPPED
Welding Benches & Tables,WELDING WORKSHOP,Welding Benches & Tables,[Parent],MAPPED
Welding Blankets & Mats,SAFETY & PPE,Welding Workspace Safety,Welding Blankets & Mats,MAPPED
Welding Cable (Copper/PVC),ARC WELDING,Welding Cable & Connectors,Welding Cable (Copper/PVC),MAPPED
Welding Cable (Copper/Rubber),ARC WELDING,Welding Cable & Connectors,Welding Cable (Copper/Rubber),MAPPED
Welding Cable (Double Insulated),ARC WELDING,Welding Cable & Connectors,Double Insulated Cable,MAPPED
Welding Cable - Plugs & Sockets,ARC WELDING,Welding Cable & Connectors,Cable Plugs & Sockets,MAPPED
Welding Cable Sets,ARC WELDING,Welding Cable & Connectors,Welding Cable Sets,MAPPED
Welding Cable and Accessories,ARC WELDING,Welding Cable & Connectors,[Parent],MAPPED
Welding Capes & Sleeves,SAFETY & PPE,Welding Protective Clothing,Welding Capes & Sleeves,MAPPED
Welding Caps & Balaclavas,SAFETY & PPE,Welding Protective Clothing,Welding Caps & Balaclavas,MAPPED
Welding Chemicals and Sprays,WELDING WORKSHOP,Welding Chemicals & Consumables,Welding Chemicals & Sprays,MAPPED
Welding Clothing,SAFETY & PPE,Welding Protective Clothing,[Parent],MAPPED
Welding Consumables & Supplies,WELDING WORKSHOP,Welding Chemicals & Consumables,[Parent],MAPPED
Welding Curtain Frames & Arms,SAFETY & PPE,Welding Workspace Safety,Welding Screens & Curtains,MAPPED
Welding Curtains & Frames - Defender,SAFETY & PPE,Welding Workspace Safety,Welding Screens & Curtains,MAPPED
Welding Curtains & Frames - Standard,SAFETY & PPE,Welding Workspace Safety,Welding Screens & Curtains,MAPPED
Welding Curtains & Frames - Tusker,SAFETY & PPE,Welding Workspace Safety,Welding Screens & Curtains,MAPPED
Welding Electrode Quivers and Ovens,ARC WELDING,Arc Welding Accessories,Electrode Quivers & Ovens,MAPPED
Welding Equipment,WELDING MACHINES,Welding Machines,[Parent],MAPPED
Welding Fluxes,GAS & OXY-FUEL,Oxy-Fuel Welding Equipment,[Sub-cat],MAPPED
Welding Fume Extraction,FUME EXTRACTION,Kemper Mobile & Hi-Vac Extraction,[Parent],MAPPED
Welding Gas Hoses,GAS & OXY-FUEL,"Gas Hoses, Fittings & Storage",[Parent],MAPPED
Welding Gauges,WELDING WORKSHOP,Welding Tools & Equipment,Welding Gauges,MAPPED
Welding Gloves & Gauntlets,SAFETY & PPE,Welding Protective Clothing,Welding Gloves & Gauntlets,MAPPED
Welding Goggles & Spectacles,SAFETY & PPE,Welding Helmets & Eye Protection,[Parent],MAPPED
Welding Helmet Spares,SAFETY & PPE,Welding Helmets & Eye Protection,Welding Helmet Spares,MAPPED
Welding Helmets,SAFETY & PPE,Welding Helmets & Eye Protection,Auto-Darkening Welding Helmets,MAPPED
Welding Helmets & Masks,SAFETY & PPE,Welding Helmets & Eye Protection,[Parent],MAPPED
Welding Hoses - Bulk Coils,GAS & OXY-FUEL,"Gas Hoses, Fittings & Storage",[Sub-cat],MAPPED
Welding Hoses - Fitted Single Lengths,GAS & OXY-FUEL,"Gas Hoses, Fittings & Storage",[Sub-cat],MAPPED
Welding Jackets,SAFETY & PPE,Welding Protective Clothing,Welding Jackets,MAPPED
Welding Jackets & Trousers - Standard,SAFETY & PPE,Welding Protective Clothing,Welding Jackets,MAPPED
Welding Masks,SAFETY & PPE,Welding Helmets & Eye Protection,Welding Masks,MAPPED
Welding Nozzles,GAS & OXY-FUEL,Oxy-Fuel Welding Equipment,Welding Nozzles (DH/HD),MAPPED
Welding Overalls,SAFETY & PPE,Welding Protective Clothing,Welding Overalls,MAPPED
Welding Screens & Curtains,SAFETY & PPE,Welding Workspace Safety,Welding Screens & Curtains,MAPPED
Welding Strip Curtains,SAFETY & PPE,Welding Workspace Safety,Welding Strip Curtains,MAPPED
Welding Tents & Work Shelters,SAFETY & PPE,Welding Workspace Safety,Welding Tents & Shelters,MAPPED
Welding Tools,WELDING WORKSHOP,Welding Tools & Equipment,[Parent],MAPPED
Welding Tools & Benches,WELDING WORKSHOP,Welding Benches & Tables,[Parent],MAPPED
Welding Trousers & Spats,SAFETY & PPE,Welding Protective Clothing,Welding Trousers & Spats,MAPPED
Work Holding Devices - Fixed Angle,WELDING WORKSHOP,Welding Tools & Equipment,Magnetic Welding Positioners,MAPPED
Work Holding Devices - Variable Angle,WELDING WORKSHOP,Welding Tools & Equipment,Magnetic Welding Positioners,MAPPED
Wrench Sets,WELDING WORKSHOP,Welding Tools & Equipment,Tool Kit Sets & Cabinets,MAPPED
Zirconiated Tungsten Electrodes,TIG WELDING,TIG Welding Torches & Tungsten,Zirconiated Tungsten,MAPPED
mepBlitz Elecro Polisher,TIG WELDING,TIG Welding Accessories,Weld Cleaning Equipment,MAPPED
