csv_category,nav_top_menu,nav_column,nav_item_matched,status
Circular Saws & Blades,WELDING MACHINES,Cutting Machines,Circular Saws,MAPPED
Contour Markers,PIPE WELDING,Pipe Welding Accessories,Measuring & Marking Tools,MAPPED
Copper Free MIG Wire,MIG WELDING,MIG Welding Wire,Copper Free MIG Wire,MAPPED
Copper Phosphorus Brazing Rods,GAS & OXY-FUEL,Oxy-Fuel Welding Rods,Copper Phosphorus Rods,MAPPED
Cutting & Gouging Nozzles,PLASMA CUTTING,Oxy-Fuel Cutting Nozzles,[Parent],MAPPED
Cutting & Welding Sets,GAS & OXY-FUEL,Oxy-Fuel Welding Equipment,Cutting & Welding Sets,MAPPED
Cutting Discs,ABRASIVES,Cutting & Grinding Discs,Cutting Discs,MAPPED
Cutting Guides Oxy/Acet/Propane,PLASMA CUTTING,Cutting & Gouging Accessories,Cutting Guides Oxy/Acet/Propane,MAPPED
Cutting Machines,PLASMA CUTTING,Oxy-Fuel Cutting Machines,[Parent],MAPPED
Cutting/Gouging Welding Electrodes,ARC WELDING,MMA Welding Electrodes,Cutting / Gouging,MAPPED
Cylinder Adaptors,GAS & OXY-FUEL,"Gas Hoses, Fittings & Storage",Cylinder Fittings & Adaptors,MAPPED
Cylinder Connectors,GAS & OXY-FUEL,"Gas Hoses, Fittings & Storage",Cylinder Fittings & Adaptors,MAPPED
Cylinder Extensions Right or Left Hand,GAS & OXY-FUEL,"Gas Hoses, Fittings & Storage",Cylinder Fittings & Adaptors,MAPPED
Cylinder Fittings,GAS & OXY-FUEL,"Gas Hoses, Fittings & Storage",Cylinder Fittings & Adaptors,MAPPED
DH Welding Nozzles - Oxy/Acetylene,GAS & OXY-FUEL,Oxy-Fuel Welding Equipment,Welding Nozzles (DH/HD),MAPPED
Devcon Epoxy Adhesives,WELDING WORKSHOP,Welding Chemicals & Consumables,Devcon Maintenance Products,MAPPED
Devcon Epoxy Metal Repair Putty,WELDING WORKSHOP,Welding Chemicals & Consumables,Devcon Maintenance Products,MAPPED
Devcon Flexane,WELDING WORKSHOP,Welding Chemicals & Consumables,Devcon Maintenance Products,MAPPED
