old_url,depth,matched_category_name,new_url,match_type,match_method,confidence,status,notes,is_cross_linked,consolidation_count
https://www.weldingandwelder.com/category/welding-equipment/,1,Welding Equipment,/mig-welding/welders/welding-equipment,exact,Leaf slug 'welding-equipment' → CSV 'Welding Equipment',high,MAPPED,Subcategory override: 'Welding Equipment' → /mig-welding/welders/welding-equipment,,
https://www.weldingandwelder.com/category/welding-equipment/oxy-acetylene-cutting-welding/oxy-fuel-nozzles/gas-cutting-nozzles/,4,Gas Cutting & Gouging Nozzles,/cutting/nozzles/gas-cutting-and-gouging-nozzles,exact,Leaf slug 'gas-cutting-nozzles' → CSV 'Gas Cutting & Gouging Nozzles',high,MAPPED,Subcategory override: 'Gas Cutting & Gouging Nozzles' → /cutting/nozzles/gas-cutting-and-gouging-nozzles,,
https://www.weldingandwelder.com/category/safety-equipment/welding-helmets/welding-helmet-spares/,3,Welding Helmet Spares,/safety/helmets/spares,exact,Leaf slug 'welding-helmet-spares' → CSV 'Welding Helmet Spares',high,MAPPED,Item match: Welding Helmet Spares,,
https://www.weldingandwelder.com/category/welding-equipment/tool-balancers/,2,Tool Balancers,/machines/tool-balancers,exact,Leaf slug 'tool-balancers' → CSV 'Tool Balancers',high,MAPPED,Item match: Tool Balancers,,
https://www.weldingandwelder.com/category/deals/,1,Offers & Deals,/offers-deals,exact,Leaf slug 'deals' → CSV 'Offers & Deals',high,MAPPED,Red banner strip → /offers-deals,,
https://www.weldingandwelder.com/category/gas-welding-equipment/welding-gas-hoses/welding-hose-cutting-hose/welding-hoses-fitted-single-lengths/,4,Welding Hoses - Fitted Single Lengths,/gas-oxy-fuel/hoses,exact,Leaf slug 'welding-hoses-fitted-single-lengths' → CSV 'Welding Hoses - Fitted Single Lengths',high,MAPPED,Column-level href ([Sub-cat]),,8
https://www.weldingandwelder.com/category/safety-equipment/welding-helmets/welding-helmet/,3,Welding Helmets,/safety/helmets/auto-darkening,exact,Leaf slug 'welding-helmet' → CSV 'Welding Helmets',high,MAPPED,Item match: Auto-Darkening Welding Helmets,,
https://www.weldingandwelder.com/category/welding-equipment/welder-generators/generators-welder-generators/,3,Generators,/machines/generators,exact,Leaf slug 'generators-welder-generators' → CSV 'Generators',high,MAPPED,Item match: Generators,,2
https://www.weldingandwelder.com/category/welding-fume-extraction/kemper-fume-extraction-equipment/kemper-filters/,3,Kemper Filters,/safety/fume/kemper-spares/kemper-filters,exact,Leaf slug 'kemper-filters' → CSV 'Kemper Filters',high,MAPPED,Subcategory override: 'Kemper Filters' → /safety/fume/kemper-spares/kemper-filters,,
https://www.weldingandwelder.com/category/welding-equipment/tig-welding-machines/,2,TIG Welders,/tig-welding/welders/tig-welders,exact,Leaf slug 'tig-welding-machines' → CSV 'TIG Welders',high,MAPPED,Subcategory override: 'TIG Welders' → /tig-welding/welders/tig-welders,,
