name,slug,full_path,parent,level
AMA Roller Pipe Stands,ama-roller-pipe-stands,workshop/pipe/stands/roller/ama-roller-pipe-stands,workshop/pipe/stands,2
Double Roll Pipe Stands,double-roll-pipe-stands,workshop/pipe/stands/roller/double-roll-pipe-stands,workshop/pipe/stands,2
Floor Mounted Roller Stands,floor-mounted-roller-stands,workshop/pipe/stands/roller/floor-mounted-roller-stands,workshop/pipe/stands,2
Mega-Pipe Stands,mega-pipe-stands,workshop/pipe/stands/roller/mega-pipe-stands,workshop/pipe/stands,2
Multi-Stand Pipe Stands,multi-stand-pipe-stands,workshop/pipe/stands/roller/multi-stand-pipe-stands,workshop/pipe/stands,2
Pipe Roller Stands,pipe-roller-stands,workshop/pipe/stands/roller/pipe-roller-stands,workshop/pipe/stands,2
Roller Pipe Stands,roller-pipe-stands,workshop/pipe/stands/roller/roller-pipe-stands,workshop/pipe/stands,2
Five Leg Pipe Stands,five-leg-pipe-stands,workshop/pipe/stands/v-head/five-leg-pipe-stands,workshop/pipe/stands,2
Quattro Pipe Stands,quattro-pipe-stands,workshop/pipe/stands/v-head/quattro-pipe-stands,workshop/pipe/stands,2
Single Tube Pipe Stands,single-tube-pipe-stands,workshop/pipe/stands/v-head/single-tube-pipe-stands,workshop/pipe/stands,2
Tri-Stands & Pipe Jacks,tri-stands-and-pipe-jacks,workshop/pipe/stands/v-head/tri-stands-and-pipe-jacks,workshop/pipe/stands,2
V Head Stands,v-head-stands,workshop/pipe/stands/v-head/v-head-stands,workshop/pipe/stands,2
Pipe Welding Clamps,clamps,workshop/pipe/clamps,workshop/pipe,1
Black Bridge Clamps,black-bridge-clamps,workshop/pipe/clamps/bridge/black-bridge-clamps,workshop/pipe/clamps,2
Gold Bridge Alignment Clamps,gold-bridge-alignment-clamps,workshop/pipe/clamps/bridge/gold-bridge-alignment-clamps,workshop/pipe/clamps,2
Chain Pipe Alignment Clamps,chain-pipe-alignment-clamps,workshop/pipe/clamps/chain/chain-pipe-alignment-clamps,workshop/pipe/clamps,2
Double Chain Pipe Clamps,double-chain-pipe-clamps,workshop/pipe/clamps/chain/double-chain-pipe-clamps,workshop/pipe/clamps,2
Single Chain Pipe Clamps,single-chain-pipe-clamps,workshop/pipe/clamps/chain/single-chain-pipe-clamps,workshop/pipe/clamps,2
Pipe Cutting & Preparation,cutting,workshop/pipe/cutting,workshop/pipe,1
140mm Saw Blades & Diamond Cutting Discs,140mm-saw-blades-and-diamond-cutting-discs,workshop/pipe/saws/exact/140mm-saw-blades-and-diamond-cutting-discs,workshop/pipe/cutting,2
165mm Saw Blades & Diamond Cutting Discs,165mm-saw-blades-and-diamond-cutting-discs,workshop/pipe/saws/exact/165mm-saw-blades-and-diamond-cutting-discs,workshop/pipe/cutting,2
Exact 170 Pipe Cutting Benches,exact-170-pipe-cutting-benches,workshop/pipe/saws/exact/exact-170-pipe-cutting-benches,workshop/pipe/cutting,2
Exact PipeCut for Cutting Spiral Ducting,exact-pipecut-for-cutting-spiral-ducting,workshop/pipe/saws/exact/exact-pipecut-for-cutting-spiral-ducting,workshop/pipe/cutting,2
Exact Saw Blades,exact-saw-blades,workshop/pipe/saws/exact/exact-saw-blades,workshop/pipe/cutting,2
Pipe Bench System Accessories,pipe-bench-system-accessories,workshop/pipe/saws/exact/pipe-bench-system-accessories,workshop/pipe/cutting,2
Special Blades,special-blades,workshop/pipe/saws/exact/special-blades,workshop/pipe/cutting,2
Pipe Bevelling Machines & Tools,pipe-bevelling-machines-and-tools,workshop/pipe/bevelling/pipe-bevelling-machines-and-tools,workshop/pipe/cutting,2
Pipe Prep Blades,pipe-prep-blades,workshop/pipe/bevelling/pipe-prep-blades,workshop/pipe/cutting,2
Prep 2 Pipe Preparation Machines,prep-2-pipe-preparation-machines,workshop/pipe/bevelling/prep-2-pipe-preparation-machines,workshop/pipe/cutting,2
Prep 3 Pipe Preparation Machines,prep-3-pipe-preparation-machines,workshop/pipe/bevelling/prep-3-pipe-preparation-machines,workshop/pipe/cutting,2
Prep 4 Pipe Preparation Machines,prep-4-pipe-preparation-machines,workshop/pipe/bevelling/prep-4-pipe-preparation-machines,workshop/pipe/cutting,2
Prep 8 Pipe Preparation Machines,prep-8-pipe-preparation-machines,workshop/pipe/bevelling/prep-8-pipe-preparation-machines,workshop/pipe/cutting,2
Automatic Pipe Cutting Machine Spares,automatic-pipe-cutting-machine-spares,workshop/pipe/cutting-machines/spares/automatic-pipe-cutting-machine-spares,workshop/pipe/cutting,2
Magnetic Pipe Cutting Machine Spares,magnetic-pipe-cutting-machine-spares,workshop/pipe/cutting-machines/spares/magnetic-pipe-cutting-machine-spares,workshop/pipe/cutting,2
Manual Pipe Cutting Machine Spares,manual-pipe-cutting-machine-spares,workshop/pipe/cutting-machines/spares/manual-pipe-cutting-machine-spares,workshop/pipe/cutting,2
Automatic Pipe Cutting Machines,automatic-pipe-cutting-machines,workshop/pipe/cutting-machines/automatic-pipe-cutting-machines,workshop/pipe/cutting,2
Magnetic Pipe Cutting Machines,magnetic-pipe-cutting-machines,workshop/pipe/cutting-machines/magnetic-pipe-cutting-machines,workshop/pipe/cutting,2
Pipe Welding Accessories,accessories,workshop/pipe/accessories,workshop/pipe,1
Drain Test Plugs & Stoppers,drain-test-plugs-and-stoppers,workshop/pipe/drain-plugs/drain-test-plugs-and-stoppers,workshop/pipe/accessories,2
