ID,SKU,Name,Old Categories,New Categories,Status
5524,RO112401,Sifsteel No 11 Steel Gas Welding Rods Copper Coated - 2.4 mm x 1 Kg,Welding Equipment > Oxy-Fuel Equipment > Oxy-Acetylene Welding Rods > Oxy-Acetylene Welding Rods - Steel,GAS & OXY-FUEL > Oxy-Fuel Welding Rods > Steel Welding Rods,MAPPED
5525,RO112450,Sifsteel No 11 Steel Gas Welding Rods Copper Coated - 2.4 mm x 5 Kg,Welding Equipment > Oxy-Fuel Equipment > Oxy-Acetylene Welding Rods > Oxy-Acetylene Welding Rods - Steel,GAS & OXY-FUEL > Oxy-Fuel Welding Rods > Steel Welding Rods,MAPPED
5527,RO113250,Sifsteel No 11 Steel Gas Welding Rods Copper Coated - 3.2 mm x 5 Kg,Welding Equipment > Oxy-Fuel Equipment > Oxy-Acetylene Welding Rods > Oxy-Acetylene Welding Rods - Steel,GAS & OXY-FUEL > Oxy-Fuel Welding Rods > Steel Welding Rods,MAPPED
5528,CRBK7700,Navitec Grinding Visor/Welding Helmet Complete,Safety Equipment > Welding Helmets & Masks > Welding Helmets,SAFETY & PPE > Welding Helmets & Eye Protection > Auto-Darkening Welding Helmets,MAPPED
5530,CRBK0552,Kapio Auto Darkening Welding Helmet Complete - S2,Safety Equipment > Welding Helmets & Masks > Welding Helmets,SAFETY & PPE > Welding Helmets & Eye Protection > Auto-Darkening Welding Helmets,MAPPED
5538,TSC120,Tempilstik Temperature Indicator Pen 120°C / 248°F,Welding Tools & Benches > Welding & Marking Tools > Temperature Indicator Pens,WELDING WORKSHOP > Welding Tools & Equipment > Temperature Indicator Pens,MAPPED
5539,UVEX9301-145/5,Uvex 9301 Ultravision Goggles (Shade 5) - Pack of 5,Safety Equipment > Welding Goggles & Spectacles,SAFETY & PPE > Welding Helmets & Eye Protection,MAPPED
5554,FXGF69D,Gas Fluxer 69-D MM,Gas Delivery & Control > Gas Flow Components > Gas Fluxers & Fluxes > Gas Fluxers,GAS & OXY-FUEL > Oxy-Fuel Welding Equipment,MAPPED
5558,RO961601-WWVP,Sifsilcopper No 968 Copper TIG Rods - 1.6 mm,Welding Consumables & Supplies > TIG Welding Supplies > TIG Welding Rods > TIG Filler Rods for Brazing/Bronze Welding,TIG WELDING > TIG Welding Filler Rods > Brazing / Bronze,MAPPED
5559,70500144,Bench Extractor Combi Hood Fume &amp; Odour Extraction Kit (70500144),Welding Fume Extraction > Bench Top Extractors,FUME EXTRACTION > On-Torch & Bench Extraction > Bench Top Extractors,MAPPED
5561,64 307,"KEMPER SmartMaster - Welding Fume Extraction Unit - 110V, 2 Metre Arm, Flexible Exhaust Arm",,,NO_CATEGORY
5562,64 337,"KEMPER SmartMaster - Welding Fume Extraction Unit - 110V, 3 Metre Arm, Flexible Exhaust Arm",,,NO_CATEGORY
5565,RE723250,Siftrode 7024 Mild Steel High Recovery 5kg - 3.2mm,,,NO_CATEGORY
5567,RE724050,Siftrode 7024 Mild Steel High Recovery 5kg - 4.0mm,,,NO_CATEGORY
5571,AU2001,Flashback Arrestor Resettable Collar (Oxygen) (AU2001),Gas Delivery & Control > Gas Flow Components > Flashback Arrestors,GAS & OXY-FUEL > Gas Regulators & Delivery > Flashback Arrestors,MAPPED
5573,AU2002,Flashback Arrestor Resettable Collar - Fuel Gas (Acetylene & Propane) (AU2002),Gas Delivery & Control > Gas Flow Components > Flashback Arrestors,GAS & OXY-FUEL > Gas Regulators & Delivery > Flashback Arrestors,MAPPED
5575,547725 [now 547700 + 500025],3M™ Speedglas™ 9100FX Welding Helmet with Adflo System,Safety Equipment > Welding Helmets & Masks > Welding Helmets,SAFETY & PPE > Welding Helmets & Eye Protection > Auto-Darkening Welding Helmets,MAPPED
5577,WO141065,Sifmig 1050 Aluminium MIG Wire - 6.5kg Spool - 1.0mm,,,NO_CATEGORY
5578,RT782450,"Super Duplex Stainless Steel TIG Rods - 5kg, 2.4mm",,,NO_CATEGORY
5581,RO1815015AG,Sifcupron No 17-5Ag Copper Phosphorus Brazing Rods - 1.5 mm x 1 Kg,Welding Equipment > Oxy-Fuel Equipment > Oxy-Acetylene Welding Rods > Copper Phosphorus Brazing Rods,GAS & OXY-FUEL > Oxy-Fuel Welding Rods > Copper Phosphorus Rods,MAPPED
5584,FIAC SPECIAL,FIAC Spares Package,Air Tools & Compressors > Air Compressors > Servicing & Parts,WELDING MACHINES > Welding Power & Cooling > Filter Kits & Servicing,MAPPED
5587,7517,Silver Solder AG14 Flux Coated (Ag 55%) x 1.5 mm x 0.25 Kg,Welding Equipment > Oxy-Fuel Equipment > Oxy-Acetylene Welding Rods > Silver Solder Welding Rods,GAS & OXY-FUEL > Oxy-Fuel Welding Rods > Silver Solder Rods,MAPPED
5589,7511/RR431501,Silver Solder AG14 Flux Coated (Ag 55%) x 1.5 mm x 1 Kg,Welding Equipment > Oxy-Fuel Equipment > Oxy-Acetylene Welding Rods > Silver Solder Welding Rods,GAS & OXY-FUEL > Oxy-Fuel Welding Rods > Silver Solder Rods,MAPPED
5590,813010/1389/1385,Leather Welding Mask Standard Size 45cm (Monkey Mask) with 10 x Spare Lenses,Safety Equipment > Welding Helmets & Masks > Welding Masks,SAFETY & PPE > Welding Helmets & Eye Protection > Welding Masks,MAPPED
5593,RO1825505,Sifcupron No 17-5Ag Copper Phosphorus Brazing Rods - 2.5 mm x 5 Kg,Welding Equipment > Oxy-Fuel Equipment > Oxy-Acetylene Welding Rods > Copper Phosphorus Brazing Rods,GAS & OXY-FUEL > Oxy-Fuel Welding Rods > Copper Phosphorus Rods,MAPPED
5597,KS58S4,Navitek Shock Auto Darkening Welding/Grinding,Safety Equipment > Welding Helmets & Masks > Welding Helmets,SAFETY & PPE > Welding Helmets & Eye Protection > Auto-Darkening Welding Helmets,MAPPED
