old_url,new_url,match_type,confidence,notes
https://www.weldingandwelder.com/category/pipe-stands-pipe-clamps/pipe-cutting-equipment/pipe-cutting-machines/automatic-pipe-cutting-machine-spares/,/workshop/pipe/cutting-machines/spares/automatic-pipe-cutting-machine-spares,exact,high,Subcategory override: 'Automatic Pipe Cutting Machine Spares' → /workshop/pipe/cutting-machines/spares/automatic-pipe-cutting-machine-spares
https://www.weldingandwelder.com/category/welding-consumables/tig-welding-supplies/tungsten-electrodes/zirconiated-tungsten-electrodes/,/tig-welding/tungsten/zirconiated,exact,high,Item match: Zirconiated Tungsten
https://www.weldingandwelder.com/category/welding-consumables/tig-welding-supplies/tungsten-electrodes/ceriated-tungsten-electrodes/,/tig-welding/tungsten/ceriated,exact,high,Item match: Ceriated Tungsten
https://www.weldingandwelder.com/category/welding-consumables/tig-welding-supplies/tig-welding-rods/tig-filler-rods-for-mild-steel/,/tig-welding/filler-rods/mild-steel/tig-filler-rods-for-mild-steel,exact,high,Subcategory override: 'TIG Filler Rods for Mild Steel' → /tig-welding/filler-rods/mild-steel/tig-filler-rods-for-mild-steel
https://www.weldingandwelder.com/category/welding-consumables/mma-arc-welding-supplies/welding-cable/welding-cable-copper-pvc/,/arc-mma/cable/pvc,exact,high,Item match: Welding Cable (Copper/PVC)
https://www.weldingandwelder.com/category/welding-equipment/oxy-acetylene-cutting-welding/oxy-acetylene-welding-rods/copper-phosphorous-welding-rods/,/gas-oxy-fuel/rods/copper-phosphorus,exact,high,Item match: Copper Phosphorus Rods
https://www.weldingandwelder.com/category/air-tools-air-compressors/air-compressors/petrol-air-compressors/,/workshop/compressors/petrol,exact,high,Item match: Petrol Air Compressors
https://www.weldingandwelder.com/category/welding-consumables/welding-chemicals-sprays/leak-detection-spray/,/workshop/chemicals/leak-detection-spray,exact,high,Subcategory override: 'Leak Detection Spray' → /workshop/chemicals/leak-detection-spray
https://www.weldingandwelder.com/category/gas-welding-equipment/welding-gas-hoses/welding-hose-cutting-hose/welding-hoses-bulk-coils/,/gas-oxy-fuel/hoses,exact,high,Column-level href ([Sub-cat])
https://www.weldingandwelder.com/category/safety-equipment/welding-clothing/welding-jackets/,/safety/clothing/jackets,exact,high,Item match: Welding Jackets
https://www.weldingandwelder.com/category/welding-consumables/tig-welding-supplies/tig-welding-rods/tig-filler-rods-for-aluminium/,/tig-welding/filler-rods/aluminium,exact,high,Item match: Aluminium
https://www.weldingandwelder.com/category/welding-fume-extraction/kemper-fume-extraction-equipment/kemper-fume-extraction-spares/kemper-fans/,/safety/fume/kemper-spares/kemper-fans,exact,high,Subcategory override: 'Kemper Fans' → /safety/fume/kemper-spares/kemper-fans
https://www.weldingandwelder.com/category/welding-equipment/oxy-acetylene-cutting-welding/cutting-welding-sets/,/gas-oxy-fuel/sets,exact,high,Item match: Cutting & Welding Sets
https://www.weldingandwelder.com/category/welding-fume-extraction/kemper-fume-extraction-equipment/kemper-mobile-fume-extraction/,/safety/fume/kemper-mobile,exact,high,Column fallback for item 'Kemper Mobile Fume Extraction'
https://www.weldingandwelder.com/category/welding-consumables/mig-welding-supplies/mig-welding-wire/steel-mig-wire/,/mig-welding/wire/mild-steel,exact,high,Item match: Mild Steel MIG Wire
https://www.weldingandwelder.com/category/air-tools-air-compressors/air-tools/air-drills/,/workshop/air-tools/drills,exact,high,Item match: Air Drills
https://www.weldingandwelder.com/category/plasma-cutters-gas-cutting/cutting-nozzles-gouging-nozzles/oxy-acetylene-cutting-nozzles-anme/vvc-cutting-nozzles/,/cutting/nozzles/vvc,exact,high,Item match: VVC Cutting Nozzles
https://www.weldingandwelder.com/category/welding-tools-benches/welding-benches-work-benches/medium-duty-welding-benches/,/workshop/benches/medium-duty,exact,high,Item match: Medium Duty Welding Benches
https://www.weldingandwelder.com/category/welding-tools-benches/welding-benches-work-benches/stainless-steel-work-benches/stainless-steel-work-benches-with-drawer-cupboard/,/workshop/benches/stainless/stainless-steel-work-benches-with-drawer-and-cupboard,exact,high,Subcategory override: 'Stainless Steel Work Benches with Drawer & Cupboard' → /workshop/benches/stainless/stainless-steel-work-benches-with-drawer-and-cupboard
https://www.weldingandwelder.com/category/welding-tools-benches/welding-benches-work-benches/stainless-steel-work-benches/stainless-steel-work-benches-lower-shelves/,/workshop/benches/stainless/stainless-steel-work-benches-with-lower-shelves,exact,high,Subcategory override: 'Stainless Steel Work Benches with Lower Shelves' → /workshop/benches/stainless/stainless-steel-work-benches-with-lower-shelves
https://www.weldingandwelder.com/category/safety-equipment/welding-helmets/welding-masks/,/safety/helmets/masks,exact,high,Item match: Welding Masks
https://www.weldingandwelder.com/category/safety-equipment/welding-clothing/welding-overalls/,/safety/clothing/overalls,exact,high,Item match: Welding Overalls
https://www.weldingandwelder.com/category/welding-consumables/mig-welding-supplies/mig-welding-wire/brazing-mig-wire/,/mig-welding/wire/brazing,exact,high,Item match: Brazing MIG Wire
https://www.weldingandwelder.com/category/pipe-stands-pipe-clamps/weld-purging-equipment/double-seal-weld-purging/,/workshop/pipe/purging/double-seal-purge-systems,exact,high,Subcategory override: 'Double Seal Purge Systems' → /workshop/pipe/purging/double-seal-purge-systems
https://www.weldingandwelder.com/category/plasma-cutters-gas-cutting/carbon-arc-gouging/arc-air-gouging-carbons/,/arc-mma/gouging/carbons,exact,high,Item match: Arc-Air Gouging Carbons
https://www.weldingandwelder.com/category/welding-tools-benches/welding-benches-work-benches/heavy-duty-welding-benches/steel-top-welding-benches/,/workshop/benches/heavy-duty/steel-top-welding-benches,exact,high,Subcategory override: 'Steel Top Welding Benches' → /workshop/benches/heavy-duty/steel-top-welding-benches
https://www.weldingandwelder.com/category/plasma-cutters-gas-cutting/cutting-nozzles-gouging-nozzles/oxy-propane-cutting-nozzles-pnmpnme/oxypropane-cutting-nozzle-pnm/,/cutting/nozzles/pnm/oxy-propane-cutting-nozzle-pnm,exact,high,Subcategory override: 'Oxy/Propane Cutting Nozzle PNM' → /cutting/nozzles/pnm/oxy-propane-cutting-nozzle-pnm
https://www.weldingandwelder.com/category/gas-welding-equipment/gas-cylinder-storage-handling/gas-cylinder-cages/,/gas-oxy-fuel/storage/cages,exact,high,Item match: Gas Cylinder Cages
https://www.weldingandwelder.com/category/gas-welding-equipment/gas-regulators/gas-arc-spares-certificates/,/gas-oxy-fuel/regulators/gas-arc-spares,exact,high,Item match: Gas Arc Spares & Certificates
https://www.weldingandwelder.com/category/pipe-stands-pipe-clamps/pipe-welding-stands/roller-pipe-stands/floor-mounted-stands/,/workshop/pipe/stands/roller/floor-mounted-roller-stands,exact,high,Subcategory override: 'Floor Mounted Roller Stands' → /workshop/pipe/stands/roller/floor-mounted-roller-stands
https://www.weldingandwelder.com/category/welding-consumables/mma-arc-welding-supplies/earth-clamps/,/arc-mma/earth-clamps,exact,high,Item match: Earth Clamps
https://www.weldingandwelder.com/category/welding-consumables/mig-welding-supplies/mig-welding-wire/stainless-steel-mig-wire/,/mig-welding/wire/stainless,exact,high,Item match: Stainless Steel MIG Wire
https://www.weldingandwelder.com/category/welding-equipment/oxy-acetylene-cutting-welding/oxy-acetylene-welding-rods/silver-solder-welding-rods/,/gas-oxy-fuel/rods/silver-solder,exact,high,Item match: Silver Solder Rods
https://www.weldingandwelder.com/category/pipe-stands-pipe-clamps/pipe-welding-stands/roller-pipe-stands/double-roll-pipe-stands/,/workshop/pipe/stands/roller/double-roll-pipe-stands,exact,high,Subcategory override: 'Double Roll Pipe Stands' → /workshop/pipe/stands/roller/double-roll-pipe-stands
https://www.weldingandwelder.com/category/welding-consumables/mig-welding-supplies/mig-welding-wire/mild-steel-mig-wire/,/mig-welding/wire/mild-steel,exact,high,Item match: Mild Steel MIG Wire
https://www.weldingandwelder.com/category/plasma-cutters-gas-cutting/cutting-nozzles-gouging-nozzles/oxy-propane-cutting-nozzles-pnmpnme/oxypropane-cutting-nozzle-pnme/,/cutting/nozzles/pnm/oxy-propane-cutting-nozzle-pnme,exact,high,Subcategory override: 'Oxy/Propane Cutting Nozzle PNME' → /cutting/nozzles/pnm/oxy-propane-cutting-nozzle-pnme
https://www.weldingandwelder.com/category/gas-welding-equipment/gas-flow-components/gas-fluxers-fluxes/welding-fluxes/,/gas-oxy-fuel/equipment,exact,high,Column-level href ([Sub-cat])
https://www.weldingandwelder.com/category/pipe-stands-pipe-clamps/pipe-cutting-equipment/pipe-saws/exact-pipe-saws-pipe-saws/,/workshop/pipe/saws/exact,exact,high,Item match: Exact Pipe Saws
https://www.weldingandwelder.com/category/welding-tools-benches/angle-grinder-discs/cutting-discs/,/abrasives/cutting,exact,high,Item match: Cutting Discs
https://www.weldingandwelder.com/category/welding-tools-benches/welding-benches-work-benches/super-heavy-duty-work-benches/,/workshop/benches/super-heavy,exact,high,Item match: Super Heavy Duty Benches
